Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc1,37,IW,0.03345841184601123,-0.22400658874678853,0.290923412438811,0.0
50,sc1,37,Commensurate,-0.0036357870342001854,-0.19128314226798093,0.18166770127328732,0.0
50,sc1,37,NPE,0.23813632130622864,-0.26658635234412803,0.7465909632690143,0.0
50,sc1,38,PSPower,0.10398840610578036,-0.09774399230224529,0.305720804513806,0.0
50,sc1,38,IW,0.06712689324871467,-0.19689669770324186,0.3311504842006712,0.0
50,sc1,38,Commensurate,0.11531565798665286,-0.08866028274733796,0.3089596968049807,0.0
50,sc1,38,NPE,0.5162978768348694,-0.017662366225857033,1.0382769011454414,0.0
50,sc1,39,PSPower,0.14348862082725233,-0.0639817135599346,0.35095895521443926,0.0
50,sc1,39,IW,0.0966953182905106,-0.18579688544009998,0.37918752202112116,0.0
50,sc1,39,Commensurate,0.14235161082647504,-0.06115621911855002,0.33611746742872495,0.0
50,sc1,39,NPE,0.27769893407821655,-0.29684710396528585,0.8516009837125464,0.0
50,sc1,40,PSPower,-0.1076838389427213,-0.2911130785572642,0.07574540067182162,0.0
50,sc1,40,IW,-0.10471766929371049,-0.3479104694400583,0.13847513085263732,0.0
50,sc1,40,Commensurate,-0.10657129898858937,-0.2940436181314607,0.07994758774048924,0.0
50,sc1,40,NPE,0.04964976757764816,-0.37747807416221535,0.4749734659519233,0.0
50,sc1,41,PSPower,0.3903463368674976,0.16737890450465837,0.6133137692303368,0.0
50,sc1,41,IW,0.3661076553358371,0.044361625374713776,0.6878536852969604,0.0
50,sc1,41,Commensurate,0.379782997007357,0.14536606393127416,0.6121179739192655,0.0
50,sc1,41,NPE,0.6010622382164001,-0.039027166785499216,1.217223985950524,0.0
